Sat Feb 27 16:20:24 2021 | 9.11 sec | 154.4 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 27 16:20:37 2021 | 9.15 sec | 155.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 27 21:06:13 2021 | 9.04 sec | 153.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 27 21:23:30 2021 | 9.15 sec | 155.1 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Feb 27 21:25:27 2021 | 9.33 sec | 158.3 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 28 13:08:55 2021 | 9.41 sec | 159.5 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Fri Mar  5 10:16:38 2021 | 9.66 sec | 163.9 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Mar  6 17:10:58 2021 | 9.06 sec | 153.6 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sat Mar  6 17:29:16 2021 | 9.12 sec | 154.6 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Mon Mar  8 19:40:12 2021 | 9.13 sec | 154.9 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Tue Mar  9 20:53:19 2021 | 10.15 sec | 172.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
